Bill of Lading #,Date,Description (Sales Category),Point of Origin,Carrier Ref,Vendor Invoice #,Invoice Date,Gal Purchased
627312, 01/02/2014,#2 ULTRA LS DIESEL UNDYED,19 Argo IL - Argo Kinder Morgan IL,EXCEL,788120, 01/02/2014,6415
934542, 01/02/2014,B100-SOY,19 Argo IL - Argo Kinder Morgan IL,EXCEL,788120, 01/02/2014,776
627328, 01/03/2014,#2 ULTRA LS DIESEL UNDYED,19 Argo IL - Argo Kinder Morgan IL,EXCEL,788135, 01/03/2014,6408
934566, 01/03/2014,B100-SOY,19 Argo IL - Argo Kinder Morgan IL,EXCEL,788135, 01/03/2014,774
627376, 01/03/2014,#2 ULTRA LS DIESEL UNDYED,19 Argo IL - Argo Kinder Morgan IL,EXCEL,788264, 01/03/2014,6409
934696, 01/03/2014,B100-SOY,19 Argo IL - Argo Kinder Morgan IL,EXCEL,788264, 01/03/2014,792
934750, 01/03/2014,#2 ULTRA LS DIESEL UNDYED,19 Argo IL - Argo Kinder Morgan IL,EXCEL,788304, 01/03/2014,6406
934739, 01/03/2014,B100-SOY,19 Argo IL - Argo Kinder Morgan IL,EXCEL,788304, 01/03/2014,793
627508, 01/04/2014,#2 ULTRA LS DIESEL UNDYED,19 Argo IL - Argo Kinder Morgan IL,EXCEL,788349, 01/04/2014,6408
934923, 01/04/2014,B100-SOY,19 Argo IL - Argo Kinder Morgan IL,EXCEL,788349, 01/04/2014,790
139464, 01/04/2014,#2 ULTRA LS DIESEL UNDYED,05 Forest View IL - Forest View IL,EXCEL,788376, 01/04/2014,6408
934887, 01/04/2014,B100-SOY,19 Argo IL - Argo Kinder Morgan IL,EXCEL,788376, 01/04/2014,791
627463, 01/04/2014,#2 ULTRA LS DIESEL UNDYED,19 Argo IL - Argo Kinder Morgan IL,EXCEL,788391, 01/04/2014,6408
934842, 01/04/2014,B100-SOY,19 Argo IL - Argo Kinder Morgan IL,EXCEL,788391, 01/04/2014,791
935015, 01/05/2014,#2 ULTRA LS DIESEL UNDYED,19 Argo IL - Argo Kinder Morgan IL,EXCEL,788487, 01/05/2014,6408
935019, 01/05/2014,B100-SOY,19 Argo IL - Argo Kinder Morgan IL,EXCEL,788487, 01/05/2014,792
139526, 01/05/2014,#2 ULTRA LS DIESEL UNDYED,05 Forest View IL - Forest View IL,EXCEL,789191, 01/05/2014,6406
935050, 01/05/2014,B100-SOY,19 Argo IL - Argo Kinder Morgan IL,EXCEL,789191, 01/05/2014,790
841071, 01/06/2014,B-11 Bio Diesel #2  ULSD,23 Lockport IL - Lockport IL,EXCEL,789192, 01/06/2014,7401
935410, 01/08/2014,#2 ULTRA LS DIESEL UNDYED,19 Argo IL - Argo Kinder Morgan IL,EXCEL,789302, 01/08/2014,6409
935399, 01/08/2014,B100-SOY,19 Argo IL - Argo Kinder Morgan IL,EXCEL,789302, 01/08/2014,791
1048387, 01/08/2014,B-11 Bio Diesel #2  ULSD,10 Mt Prospect IL - Mt. Prospect IL,EXCEL,789409, 01/08/2014,7402
841173, 01/07/2014,B-11 Bio Diesel #2  ULSD,23 Lockport IL - Lockport IL,EXCEL,789410, 01/07/2014,7400
841161, 01/07/2014,B-11 Bio Diesel #2  ULSD,23 Lockport IL - Lockport IL,EXCEL,789411, 01/07/2014,7402
841428, 01/09/2014,B-11 Bio Diesel #2  ULSD,23 Lockport IL - Lockport IL,EXCEL,789518, 01/09/2014,7200
935709, 01/10/2014,#2 ULTRA LS DIESEL UNDYED,19 Argo IL - Argo Kinder Morgan IL,EXCEL,789576, 01/10/2014,6406
935702, 01/09/2014,B100-SOY,19 Argo IL - Argo Kinder Morgan IL,EXCEL,789576, 01/10/2014,791
1048544, 01/08/2014,B-11 Bio Diesel #2  ULSD,10 Mt Prospect IL - Mt. Prospect IL,EXCEL,789620, 01/08/2014,7403
1048531, 01/08/2014,B-11 Bio Diesel #2  ULSD,10 Mt Prospect IL - Mt. Prospect IL,EXCEL,789621, 01/08/2014,7400
841418, 01/09/2014,B-11 Bio Diesel #2  ULSD,23 Lockport IL - Lockport IL,EXCEL,789622, 01/09/2014,7400
627834, 01/09/2014,#2 ULTRA LS DIESEL UNDYED,19 Argo IL - Argo Kinder Morgan IL,EXCEL,789634, 01/09/2014,6408
935544, 01/09/2014,B100-SOY,19 Argo IL - Argo Kinder Morgan IL,EXCEL,789634, 01/09/2014,793
628262, 01/13/2014,#2 ULTRA LS DIESEL UNDYED,19 Argo IL - Argo Kinder Morgan IL,EXCEL,789961, 01/13/2014,6408
936336, 01/13/2014,B100-SOY,19 Argo IL - Argo Kinder Morgan IL,EXCEL,789961, 01/13/2014,792
628283, 01/13/2014,#2 ULTRA LS DIESEL UNDYED,19 Argo IL - Argo Kinder Morgan IL,EXCEL,789983, 01/13/2014,6408
936389, 01/13/2014,B100-SOY,19 Argo IL - Argo Kinder Morgan IL,EXCEL,789983, 01/13/2014,792
628291, 01/13/2014,#2 ULTRA LS DIESEL UNDYED,19 Argo IL - Argo Kinder Morgan IL,EXCEL,789986, 01/13/2014,6608
936405, 01/13/2014,B100-SOY,19 Argo IL - Argo Kinder Morgan IL,EXCEL,789986, 01/13/2014,791
628389, 01/14/2014,#2 ULTRA LS DIESEL UNDYED,19 Argo IL - Argo Kinder Morgan IL,EXCEL,790283, 01/14/2014,6420
936622, 01/14/2014,B100-SOY,19 Argo IL - Argo Kinder Morgan IL,EXCEL,790283, 01/14/2014,794
628519, 01/14/2014,#2 ULTRA LS DIESEL UNDYED,19 Argo IL - Argo Kinder Morgan IL,EXCEL,790427, 01/14/2014,6408
936891, 01/14/2014,B100-SOY,19 Argo IL - Argo Kinder Morgan IL,EXCEL,790427, 01/14/2014,794
937102, 01/15/2014,#2 ULTRA LS DIESEL UNDYED,19 Argo IL - Argo Kinder Morgan IL,EXCEL,790712, 01/15/2014,6408
937091, 01/15/2014,B100-SOY,19 Argo IL - Argo Kinder Morgan IL,EXCEL,790712, 01/15/2014,793
937137, 01/15/2014,#2 ULTRA LS DIESEL UNDYED,19 Argo IL - Argo Kinder Morgan IL,EXCEL,790713, 01/15/2014,6410
937132, 01/15/2014,B100-SOY,19 Argo IL - Argo Kinder Morgan IL,EXCEL,790713, 01/15/2014,791
8254, 01/16/2014,B-11 Bio Diesel #2  ULSD,03 Lemont IL - Lemont IL,EXCEL,791007, 01/16/2014,7209
937843, 01/18/2014,#2 ULTRA LS DIESEL UNDYED,19 Argo IL - Argo Kinder Morgan IL,EXCEL,791203, 01/18/2014,6405
937841, 01/18/2014,B100-SOY,19 Argo IL - Argo Kinder Morgan IL,EXCEL,791203, 01/18/2014,791
140574, 01/17/2014,#2 ULTRA LS DIESEL UNDYED,05 Forest View IL - Forest View IL,Mike Raess & SonTrucking,791716, 01/17/2014,2204
140573, 01/17/2014,#2 ULTRA LS DIESEL UNDYED,05 Forest View IL - Forest View IL,Mike Raess & SonTrucking,791716, 01/17/2014,4205
937824, 01/17/2014,B100-SOY,19 Argo IL - Argo Kinder Morgan IL,Mike Raess & SonTrucking,791716, 01/17/2014,795
