Line#,Vendor Invoice #,Total Of Gal Purchased,Bill of Lading #,Invoice Date,Description (Sales Category),Point of Origin,Carrier Ref
1,788120,7191,627312,1/2/2014,#2 ULTRA LS DIESEL UNDYED,19 Argo IL - Argo Kinder Morgan IL,EXCEL
2,788135,7182,627328,1/3/2014,#2 ULTRA LS DIESEL UNDYED,19 Argo IL - Argo Kinder Morgan IL,EXCEL
3,788264,7201,627376,1/3/2014,#2 ULTRA LS DIESEL UNDYED,19 Argo IL - Argo Kinder Morgan IL,EXCEL
4,788304,7199,934750,1/3/2014,#2 ULTRA LS DIESEL UNDYED,19 Argo IL - Argo Kinder Morgan IL,EXCEL
5,788349,7198,627508,1/4/2014,#2 ULTRA LS DIESEL UNDYED,19 Argo IL - Argo Kinder Morgan IL,EXCEL
6,788376,7199,139464,1/4/2014,#2 ULTRA LS DIESEL UNDYED,05 Forest View IL - Forest View IL,EXCEL
7,788391,7199,627463,1/4/2014,#2 ULTRA LS DIESEL UNDYED,19 Argo IL - Argo Kinder Morgan IL,EXCEL
8,788487,7200,935015,1/5/2014,#2 ULTRA LS DIESEL UNDYED,19 Argo IL - Argo Kinder Morgan IL,EXCEL
9,789191,7196,139526,1/5/2014,#2 ULTRA LS DIESEL UNDYED,05 Forest View IL - Forest View IL,EXCEL
10,789192,7401,841071,1/6/2014,B-11 Bio Diesel #2  ULSD,23 Lockport IL - Lockport IL,EXCEL
11,789302,7200,935410,1/8/2014,#2 ULTRA LS DIESEL UNDYED,19 Argo IL - Argo Kinder Morgan IL,EXCEL
12,789409,7402,1048387,1/8/2014,B-11 Bio Diesel #2  ULSD,10 Mt Prospect IL - Mt. Prospect IL,EXCEL
13,789410,7400,841173,1/7/2014,B-11 Bio Diesel #2  ULSD,23 Lockport IL - Lockport IL,EXCEL
14,789411,7402,841161,1/7/2014,B-11 Bio Diesel #2  ULSD,23 Lockport IL - Lockport IL,EXCEL
15,789518,7200,841428,1/9/2014,B-11 Bio Diesel #2  ULSD,23 Lockport IL - Lockport IL,EXCEL
16,789576,7197,935709,1/10/2014,#2 ULTRA LS DIESEL UNDYED,19 Argo IL - Argo Kinder Morgan IL,EXCEL
17,789620,7403,1048544,1/8/2014,B-11 Bio Diesel #2  ULSD,10 Mt Prospect IL - Mt. Prospect IL,EXCEL
18,789621,7400,1048531,1/8/2014,B-11 Bio Diesel #2  ULSD,10 Mt Prospect IL - Mt. Prospect IL,EXCEL
19,789622,7400,841418,1/9/2014,B-11 Bio Diesel #2  ULSD,23 Lockport IL - Lockport IL,EXCEL
20,789634,7201,627834,1/9/2014,#2 ULTRA LS DIESEL UNDYED,19 Argo IL - Argo Kinder Morgan IL,EXCEL
21,789961,7200,628262,1/13/2014,#2 ULTRA LS DIESEL UNDYED,19 Argo IL - Argo Kinder Morgan IL,EXCEL
22,789983,7200,628283,1/13/2014,#2 ULTRA LS DIESEL UNDYED,19 Argo IL - Argo Kinder Morgan IL,EXCEL
23,789986,7399,628291,1/13/2014,#2 ULTRA LS DIESEL UNDYED,19 Argo IL - Argo Kinder Morgan IL,EXCEL
24,790268-1,7199,628382,1/14/2014,#2 ULTRA LS DIESEL UNDYED,19 Argo IL - Argo Kinder Morgan IL,EXCEL
25,790283,7214,628389,1/14/2014,#2 ULTRA LS DIESEL UNDYED,19 Argo IL - Argo Kinder Morgan IL,EXCEL
26,790427,7202,628519,1/14/2014,#2 ULTRA LS DIESEL UNDYED,19 Argo IL - Argo Kinder Morgan IL,EXCEL
27,790712,7201,937102,1/15/2014,#2 ULTRA LS DIESEL UNDYED,19 Argo IL - Argo Kinder Morgan IL,EXCEL
28,790713,7201,937137,1/15/2014,#2 ULTRA LS DIESEL UNDYED,19 Argo IL - Argo Kinder Morgan IL,EXCEL
29,791007,7209,8254,1/16/2014,B-11 Bio Diesel #2  ULSD,03 Lemont IL - Lemont IL,EXCEL
30,791203,7196,937843,1/18/2014,#2 ULTRA LS DIESEL UNDYED,19 Argo IL - Argo Kinder Morgan IL,EXCEL
31,791716,7204,140574,1/17/2014,#2 ULTRA LS DIESEL UNDYED,05 Forest View IL - Forest View IL,Mike Raess & SonTrucking
32,791717,7207,140585,1/17/2014,#2 ULTRA LS DIESEL UNDYED,05 Forest View IL - Forest View IL,Mike Raess & SonTrucking
33,791718,7203,937902,1/18/2014,#2 ULTRA LS DIESEL UNDYED,19 Argo IL - Argo Kinder Morgan IL,Mike Raess & SonTrucking
34,792088,7200,629554,1/22/2014,#2 ULTRA LS DIESEL UNDYED,19 Argo IL - Argo Kinder Morgan IL,EXCEL
35,792103,7202,629540,1/22/2014,#2 ULTRA LS DIESEL UNDYED,19 Argo IL - Argo Kinder Morgan IL,EXCEL
36,792410,7197,141327,1/23/2014,#2 ULTRA LS DIESEL UNDYED,05 Forest View IL - Forest View IL,EXCEL
37,792412,7198,141277,1/23/2014,#2 ULTRA LS DIESEL UNDYED,05 Forest View IL - Forest View IL,EXCEL
38,792413,7193,141313,1/23/2014,#2 ULTRA LS DIESEL UNDYED,05 Forest View IL - Forest View IL,EXCEL
39,792513,7424,629806,1/24/2014,#2 ULTRA LS DIESEL UNDYED,19 Argo IL - Argo Kinder Morgan IL,EXCEL
40,792855,7201,809879,1/25/2014,#2 ULTRA LS DIESEL UNDYED,Bolingbrook - Bolongbrook,Mike Raess & SonTrucking
41,792984,7198,939672,1/27/2014,#2 ULTRA LS DIESEL UNDYED,19 Argo IL - Argo Kinder Morgan IL,EXCEL
42,792985,7202,939678,1/27/2014,#2 ULTRA LS DIESEL UNDYED,19 Argo IL - Argo Kinder Morgan IL,EXCEL
43,793133,7214,844115,1/24/2014,B-11 Bio Diesel #2  ULSD,23 Lockport IL - Lockport IL,EXCEL
44,793134,7207,141478,1/24/2014,#2 ULTRA LS DIESEL UNDYED,05 Forest View IL - Forest View IL,EXCEL
45,793238,8498,140642,1/28/2014,RFG NL 10% /E (87 MIN OC,01 Blue Island IL - Blue Island IL,EXCEL
46,793350,7401,844620,1/27/2014,B-11 Bio Diesel #2  ULSD,23 Lockport IL - Lockport IL,EXCEL
47,793437,7201,630370,1/29/2014,#2 ULTRA LS DIESEL UNDYED,19 Argo IL - Argo Kinder Morgan IL,EXCEL
48,793751,7198,142073,1/29/2014,#2 ULTRA LS DIESEL UNDYED,05 Forest View IL - Forest View IL,EXCEL
49,793752,7197,142084,1/29/2014,#2 ULTRA LS DIESEL UNDYED,05 Forest View IL - Forest View IL,EXCEL
50,793754,7203,142079,1/29/2014,#2 ULTRA LS DIESEL UNDYED,05 Forest View IL - Forest View IL,EXCEL
51,793925,7203,142385,2/1/2014,#2 ULTRA LS DIESEL UNDYED,05 Forest View IL - Forest View IL,EXCEL
52,793933,7196,142441,2/1/2014,#2 ULTRA LS DIESEL UNDYED,05 Forest View IL - Forest View IL,EXCEL
53,793971,7191,142436,2/1/2014,#2 ULTRA LS DIESEL UNDYED,05 Forest View IL - Forest View IL,EXCEL
54,793977,7197,142388,2/1/2014,#2 ULTRA LS DIESEL UNDYED,05 Forest View IL - Forest View IL,EXCEL
55,794009,6794,142472,2/1/2014,#2 ULTRA LS DIESEL UNDYED,05 Forest View IL - Forest View IL,EXCEL
56,794057,7191,142531,2/2/2014,#2 ULTRA LS DIESEL UNDYED,05 Forest View IL - Forest View IL,EXCEL
57,794532,7185,142859,2/5/2014,#2 ULTRA LS DIESEL UNDYED,05 Forest View IL - Forest View IL,EXCEL
58,794814,7204,631225,2/5/2014,#2 ULTRA LS DIESEL UNDYED,19 Argo IL - Argo Kinder Morgan IL,EXCEL
